convoLabel,firstGuestMessageLower,Query Number
lead,hello,0
nolead,what is nmac apr customer cash?,0
noresponse,i'm just look atm thanks anyway,0
nolead,looking for a used murano for my mother in law,0
nolead,are you open today,0
noresponse,hey,0
noresponse,on the special for the brake job are those the oem parts or are those the value advantage,0
nolead,hello,0
nolead,hello,0
noresponse,i need an oil change today,0
noresponse,are you open today,0
nolead,i need to know the transmission of a certain vehicle,0
noresponse,hi,0
lead,looking for lease options yes,0
lead,i am interested in lease options,0
nolead,hello! i am interested in trade in my honda civic coupe 2008 for a new civic 2018,0
